component,smoothing_arcmin,smoothing_label,cptg_residual_fraction,planck_residual_fraction,cptg_minus_planck_residual_fraction,cptg_residual_rms_uK,planck_residual_rms_uK,cptg_minus_planck_residual_rms_uK,cptg_corr,planck_corr,observed_rms_uK,valid_sky_fraction,temperature_field,temperature_unit_inference,mask_field,mask_source_used
SMICA,-1.0,native,0.18126545356954815,0.18102815749548248,0.00023729607406566822,18.21892784377171,18.195077297703072,0.023850546068636902,0.9834342048872542,0.9834779134244912,100.50965302542576,0.8364308675130209,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
SMICA,10.0,10arcmin,0.1362555991195184,0.13602108049913214,0.00023451862038625926,13.141226859046887,13.118608615003474,0.022618244043412616,0.9906737160682255,0.9907059430828582,96.44540807104657,0.8364308675130209,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
SMICA,20.0,20arcmin,0.13930438512055118,0.13913571596692656,0.0001686691536246232,12.464859073399234,12.449766675352029,0.01509239804720508,0.9902496090813585,0.9902733221398878,89.47930147792833,0.8364308675130209,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
SMICA,40.0,40arcmin,0.15894913306467964,0.15875126262267475,0.0001978704420048938,12.086658554565435,12.07161227891459,0.015046275650846042,0.9872867734842613,0.9873186094745127,76.04104735599361,0.8364308675130209,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
SMICA,60.0,60arcmin,0.17858752747240558,0.17824665552456861,0.00034087194783696817,11.85946125162937,11.836824969497266,0.022636282132102892,0.9839240290895298,0.983985838202375,66.40699616305417,0.8364308675130209,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
SMICA,120.0,120arcmin,0.21236826008447662,0.21160990917834943,0.000758350906127192,11.21985630934427,11.179791055735167,0.04006525360910196,0.977189706074671,0.9773542069742941,52.832077189318184,0.8364308675130209,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
SMICA_noSZ,-1.0,native,0.1804092599584941,0.1801645779870497,0.00024468197144439374,18.178538504471547,18.153883668903376,0.024654835568171052,0.9835916321935787,0.9836364800264111,100.762779630346,0.8364308675130209,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
SMICA_noSZ,10.0,10arcmin,0.1346854891604294,0.13443896439323064,0.0002465247671987747,13.021686431786643,12.997851880372513,0.02383455141412938,0.9908883988671984,0.9909218762611208,96.6821779611015,0.8364308675130209,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
SMICA_noSZ,20.0,20arcmin,0.1376039300947752,0.13742437061947446,0.000179559475300739,12.344187649647274,12.328079709591654,0.016107940055620773,0.9904873338015033,0.9905122625987944,89.70810383936833,0.8364308675130209,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
SMICA_noSZ,40.0,40arcmin,0.15691186937418317,0.15670992379804102,0.00020194557614214292,11.968732474471688,11.953328715757396,0.015403758714292337,0.9876126088927232,0.9876446728341212,76.27678213386267,0.8364308675130209,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
SMICA_noSZ,60.0,60arcmin,0.1762907198281262,0.17595410904096714,0.00033661078715904735,11.750909927204663,11.72847265402155,0.022437273183113504,0.9843381441867459,0.9843983703308996,66.65642944030836,0.8364308675130209,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
SMICA_noSZ,120.0,120arcmin,0.20973114168768955,0.20899265564460623,0.0007384860430833251,11.136620931948874,11.097407684649621,0.03921324729925324,0.9777590949907475,0.9779172099518233,53.099510365191286,0.8364308675130209,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
NILC,-1.0,native,0.1837367845758635,0.1834905116536511,0.0002462729222124094,18.423495356863608,18.398801292202712,0.02469406466089552,0.9829754798537566,0.9830214810130454,100.27113187700685,0.7820383707682291,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-nilc_2048_R3.00_full.fits
NILC,10.0,10arcmin,0.13858899478446018,0.13834491704929963,0.00024407773516055276,13.331010802064704,13.307532726269223,0.02347807579548089,0.9903499838565255,0.9903841092861954,96.19097694443695,0.7820383707682291,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-nilc_2048_R3.00_full.fits
NILC,20.0,20arcmin,0.1418171026989065,0.14163655511920686,0.00018054757969962476,12.651715729719514,12.635608810239582,0.016106919479932813,0.9898928777304125,0.9899187270949446,89.21149486871492,0.7820383707682291,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-nilc_2048_R3.00_full.fits
NILC,40.0,40arcmin,0.16202096358821214,0.16180451830007908,0.00021644528813305475,12.273881029573245,12.257484239570756,0.016396790002488615,0.9867873161575199,0.9868228300101137,75.75489466145993,0.7820383707682291,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-nilc_2048_R3.00_full.fits
NILC,60.0,60arcmin,0.18219540799582257,0.18182942537740038,0.00036598261842218927,12.046333566867895,12.022135653486398,0.02419791338149757,0.983262342001076,0.9833300869797295,66.11765740629477,0.7820383707682291,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-nilc_2048_R3.00_full.fits
NILC,120.0,120arcmin,0.21712596411321908,0.21633270852001998,0.0007932555931990937,11.404714108260398,11.363047726756172,0.041666381504226635,0.9761435937931833,0.9763197013376259,52.52579605041374,0.7820383707682291,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-nilc_2048_R3.00_full.fits
SEVEM,-1.0,native,0.18251413562258317,0.1823039527831837,0.0002101828393994698,18.347829389862127,18.326700073687118,0.021129316175009905,0.9832032293976364,0.9832422228523482,100.52826498766751,0.8378740946451823,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-sevem_2048_R3.00_full.fits
SEVEM,10.0,10arcmin,0.13827002615220502,0.13807122581167738,0.00019880034052763285,13.336595310933493,13.317420369240967,0.019174941692526204,0.9903945677695966,0.9904223021532377,96.45326382055373,0.8378740946451823,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-sevem_2048_R3.00_full.fits
SEVEM,20.0,20arcmin,0.14198805118370433,0.1418500297456672,0.00013802143803712252,12.704514643608125,12.692165045412668,0.012349598195456224,0.9898683717143508,0.9898881598749029,89.47594207889371,0.8378740946451823,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-sevem_2048_R3.00_full.fits
SEVEM,40.0,40arcmin,0.16232785530945215,0.16214703117939422,0.00018082413005793274,12.342783985875029,12.329034816501208,0.013749169373820536,0.9867368784909282,0.9867666088103774,76.03614279475005,0.8378740946451823,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-sevem_2048_R3.00_full.fits
SEVEM,60.0,60arcmin,0.18233391672297394,0.18200036990050295,0.0003335468224709981,12.109173288130199,12.087021752389632,0.022151535740567496,0.9832366666863188,0.9832984619434701,66.412072453465,0.8378740946451823,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-sevem_2048_R3.00_full.fits
SEVEM,120.0,120arcmin,0.21692810301231358,0.21616750810001498,0.0007605949122986011,11.455568454005867,11.415402855530548,0.040165598475319086,0.9761875834043044,0.9763562916845477,52.80813456131873,0.8378740946451823,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-sevem_2048_R3.00_full.fits
COMMANDER,-1.0,native,0.17970754645676174,0.1794773383095084,0.00023020814725333016,18.118270795647938,18.09506101045228,0.023209785195657417,0.9837200809917884,0.9837621079475131,100.82086786492997,0.8803787231445312,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-commander_2048_R3.00_full.fits
COMMANDER,10.0,10arcmin,0.13352917840863168,0.13329777466234527,0.0002314037462864127,12.914301794403773,12.891921533763263,0.02238026064051013,0.9910448821891739,0.9910760330418172,96.71520448424296,0.8803787231445312,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-commander_2048_R3.00_full.fits
COMMANDER,20.0,20arcmin,0.1367047889321929,0.1365369693770528,0.00016781955514008629,12.265816583594034,12.250758999301873,0.015057584292161863,0.9906118314853729,0.990634976158797,89.72484928584335,0.8803787231445312,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-commander_2048_R3.00_full.fits
COMMANDER,40.0,40arcmin,0.15598459228948156,0.15578474614071,0.00019984614877155416,11.900863232197366,11.88561594623724,0.015247285960127144,0.9877594883717034,0.9877910268726758,76.29512029054342,0.8803787231445312,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-commander_2048_R3.00_full.fits
COMMANDER,60.0,60arcmin,0.1751566685169177,0.1748145941990141,0.0003420743179035901,11.680682172491569,11.65787024405838,0.02281192843318891,0.9845405737516496,0.9846013698673383,66.68705377530846,0.8803787231445312,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-commander_2048_R3.00_full.fits
COMMANDER,120.0,120arcmin,0.20828904253091002,0.20753783949950994,0.0007512030314000828,11.06688033317171,11.026967172338072,0.03991316083363827,0.9780673159034575,0.9782269904553023,53.132321310322354,0.8803787231445312,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-commander_2048_R3.00_full.fits
