split,cptg_residual_fraction,planck_residual_fraction,cptg_minus_planck_residual_fraction,cptg_residual_rms_uK,planck_residual_rms_uK,cptg_minus_planck_residual_rms_uK,cptg_corr,planck_corr,observed_rms_uK,valid_sky_fraction,temperature_field,temperature_unit_inference,mask_field,mask_source_used
full,0.18126545356954815,0.18102815749548248,0.00023729607406566822,18.21892784377171,18.195077297703072,0.023850546068636902,0.9834342048872542,0.9834779134244912,100.50965302542576,0.8364308675130209,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
hm1,0.18138271036741438,0.18114453548712967,0.0002381748802847139,18.240982203316477,18.217029844551135,0.023952358765342296,0.98341258502206,0.9834564846820382,100.56626767990723,0.8364308675130209,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
hm2,0.18149330470546124,0.18125467350947894,0.00023863119598230287,18.23184961236056,18.20787799486741,0.023971617493149466,0.9833921803365585,0.9834361917943493,100.45466769117655,0.8364308675130209,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
oe1,0.1813687385236119,0.18113491146628974,0.0002338270573221668,18.22366484468434,18.200170244904108,0.02349459978023205,0.9834151619160412,0.9834582572982441,100.47853336263819,0.8364308675130209,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
oe2,0.18152961871919332,0.18128909623894593,0.00024052248024739042,18.25260299288318,18.228418722713965,0.024184270169214983,0.9833854775863148,0.9834298468039631,100.54889731861323,0.8364308675130209,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
