component,ell_min,ell_max,ell_band,smoothing_arcmin,smoothing_label,cptg_residual_fraction,planck_residual_fraction,cptg_minus_planck_residual_fraction,cptg_residual_rms_uK,planck_residual_rms_uK,cptg_minus_planck_residual_rms_uK,cptg_corr,planck_corr,observed_band_rms_uK,valid_sky_fraction,temperature_field,temperature_unit_inference,mask_field,mask_source_used
SMICA,2,64,2-64,60.0,60arcmin,0.21584382489936382,0.21499807758084527,0.0008457473185185527,11.299259525627681,11.254985298882948,0.044274226744732914,0.9764277924185817,0.9766143654633028,52.34923691190104,0.8364308675130209,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
SMICA,2,95,2-95,60.0,60arcmin,0.2011048485246373,0.20048024274885473,0.0006246057757825774,11.589957460287904,11.55396054413258,0.03599691615532308,0.9795696966943725,0.9796977203988162,57.63141736917407,0.8364308675130209,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
SMICA,2,30,2-30,120.0,120arcmin,0.2440580144707631,0.24285112997414668,0.0012068844966164338,10.254760746919155,10.204050214881084,0.050710532038070966,0.9697598831312623,0.9700628270269389,42.01771766912257,0.8364308675130209,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
SMICA,2,40,2-40,120.0,120arcmin,0.23686553543948624,0.2357669171793859,0.0010986182601003536,10.702766257384207,10.653125205037222,0.04964105234698479,0.9715419890455363,0.9718091825460058,45.18498749734117,0.8364308675130209,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
SMICA,2,64,2-64,120.0,120arcmin,0.22377841918534883,0.22284830794449423,0.0009301112408545975,11.02942612026556,10.98358348158762,0.04584263867793936,0.9746399209128415,0.974853009431538,49.2872644306698,0.8364308675130209,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
SMICA,2,95,2-95,120.0,120arcmin,0.21679524189155397,0.21597960459355067,0.0008156372980032967,11.17537190724106,11.133327395253275,0.04204451198778436,0.9762170667604116,0.9763978437111648,51.54804971610604,0.8364308675130209,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
SMICA_noSZ,2,30,2-30,-1.0,native,0.23831979097695985,0.23715032703806346,0.0011694639388963868,10.282556031191726,10.23209828939502,0.05045774179670559,0.9711857847221833,0.9714720231192252,43.146043343860676,0.8364308675130209,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
SMICA_noSZ,2,40,2-40,-1.0,native,0.2300205371232488,0.22898340815052914,0.001037128972719653,10.8443878638884,10.795492104467485,0.0488957594209154,0.9731852352500326,0.9734297909195503,47.14530276084782,0.8364308675130209,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
SMICA_noSZ,2,64,2-64,-1.0,native,0.21013742805973695,0.20934570043931355,0.0007917276204233992,11.320827825829737,11.278174728956298,0.042653096873438656,0.9776717310206209,0.9778415678825039,53.87344810659575,0.8364308675130209,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
SMICA_noSZ,2,95,2-95,-1.0,native,0.19132052897111962,0.190790622790303,0.0005299061808166083,11.668497788159458,11.636179201481683,0.032318586677774874,0.9815275817878774,0.9816307234449205,60.98926158583249,0.8364308675130209,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
SMICA_noSZ,2,30,2-30,10.0,10arcmin,0.23833874545376896,0.23716923465485257,0.00116951079891639,10.281910926038043,10.231458340837914,0.0504525852001283,0.971181133154205,0.9714674071804433,43.139905374858344,0.8364308675130209,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
SMICA_noSZ,2,40,2-40,10.0,10arcmin,0.23004959597757552,0.2290122212790343,0.0010373746985412047,10.84290413524611,10.794009659423129,0.048894475822981676,0.9731783663673882,0.9734230125355062,47.13289796997966,0.8364308675130209,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
SMICA_noSZ,2,64,2-64,10.0,10arcmin,0.21022538849813827,0.20943276278306142,0.0007926257150768501,11.318024127144323,11.27535108450602,0.042673042638302405,0.9776528209209068,0.9778229246452258,53.83757027636343,0.8364308675130209,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
SMICA_noSZ,2,95,2-95,10.0,10arcmin,0.19153780496567843,0.19100562375889546,0.0005321812067829723,11.663538890723835,11.631132148862417,0.03240674186141845,0.9814852051860041,0.9815889112874888,60.89418688291755,0.8364308675130209,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
SMICA_noSZ,2,30,2-30,20.0,20arcmin,0.23840128894098472,0.2372316094177176,0.0011696795232671309,10.2797999539738,10.229363685097661,0.05043626887613861,0.9711657813418171,0.9714521763966112,43.119733117376406,0.8364308675130209,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
SMICA_noSZ,2,40,2-40,20.0,20arcmin,0.23014376093596606,0.22910560930716833,0.0010381516287977233,10.838237100363683,10.78934707852134,0.048890021842343145,0.9731561010926878,0.973401036082781,47.093334428384765,0.8364308675130209,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
SMICA_noSZ,2,64,2-64,20.0,20arcmin,0.2104986904407714,0.2097033183007333,0.0007953721400381086,11.309383387570286,11.266650729953044,0.04273265761724154,0.9775940122530256,0.9777649368015339,53.72662112001328,0.8364308675130209,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
SMICA_noSZ,2,95,2-95,20.0,20arcmin,0.1921971787406182,0.19165812933040585,0.00053904941021235,11.648481022665615,11.615810892613334,0.032670130052281365,0.9813562976300456,0.981461716125772,60.606930335777456,0.8364308675130209,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
SMICA_noSZ,2,30,2-30,40.0,40arcmin,0.2386417868219855,0.2374714824863007,0.0011703043356847964,10.271567405249934,10.221195422921419,0.050371982328515585,0.9711067099659254,0.9713935647912326,43.04178049467923,0.8364308675130209,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
SMICA_noSZ,2,40,2-40,40.0,40arcmin,0.2305064008096396,0.22946523759419804,0.001041163215441565,10.819944301133136,10.771072217928948,0.04887208320418779,0.9730702657858575,0.9733163192066261,46.93988654166975,0.8364308675130209,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
SMICA_noSZ,2,64,2-64,40.0,40arcmin,0.21155450320790897,0.2107483932546738,0.0008061099532351845,11.275537213269441,11.23257276374053,0.04296444952891143,0.9773660734522781,0.9775402119657604,53.29849775019067,0.8364308675130209,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
SMICA_noSZ,2,95,2-95,40.0,40arcmin,0.19471770581687614,0.1941518128477264,0.000565892969149745,11.590116566071575,11.556433109044127,0.03368345702744868,0.9808592933730292,0.9809714635403806,59.52266393777048,0.8364308675130209,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
SMICA_noSZ,2,30,2-30,60.0,60arcmin,0.23903746160679137,0.23786614343551513,0.0011713181712762477,10.257978664817719,10.207713084143046,0.05026558067467235,0.971009385940429,0.9712969945745148,42.91368639820879,0.8364308675130209,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
SMICA_noSZ,2,40,2-40,60.0,60arcmin,0.23109929600277088,0.2300532366900482,0.0010460593127226692,10.789993294907234,10.741152934224276,0.048840360682957495,0.9729296222153423,0.9731775029820925,46.68985791621737,0.8364308675130209,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
SMICA_noSZ,2,64,2-64,60.0,60arcmin,0.21324398098190922,0.212420535314583,0.000823445667326228,11.22074041402793,11.177411312612834,0.04332910141509494,0.9769988481039011,0.9771782144350737,52.61925969661883,0.8364308675130209,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
SMICA_noSZ,2,95,2-95,60.0,60arcmin,0.19860249203919433,0.19799379916095095,0.0006086928782433887,11.498063641698412,11.462823452210205,0.0352401894882064,0.9800800924591446,0.9802032408410865,57.89486085315214,0.8364308675130209,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
SMICA_noSZ,2,30,2-30,120.0,120arcmin,0.2410880388508441,0.23991177393475366,0.001176264916090436,10.186743199901287,10.137042233016405,0.049700966884881126,0.9705022604612823,0.9707937162209681,42.25320861398521,0.8364308675130209,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
SMICA_noSZ,2,40,2-40,120.0,120arcmin,0.23410454548372778,0.23303445998079755,0.0010700855029302236,10.638392994189614,10.58976518948794,0.04862780470167394,0.97221085529385,0.9724679100080486,45.442915139505786,0.8364308675130209,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
SMICA_noSZ,2,64,2-64,120.0,120arcmin,0.22108219700121726,0.22017666427551838,0.0009055327256988766,10.955594021062323,10.910720896721658,0.044873124340664816,0.9752550275163905,0.9754598635692507,49.55439275375937,0.8364308675130209,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
SMICA_noSZ,2,95,2-95,120.0,120arcmin,0.21412940843626668,0.21333509338503073,0.0007943150512359498,11.094641606035461,11.053485928820926,0.04115567721453495,0.976805261528812,0.9769790483996509,51.81278782329267,0.8364308675130209,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
NILC,2,30,2-30,-1.0,native,0.24583599594807107,0.24459892372750172,0.0012370722205693463,10.530298999818863,10.477309443441134,0.052989556377728064,0.969311389271251,0.9696242951406423,42.834650634495446,0.7820383707682291,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-nilc_2048_R3.00_full.fits
NILC,2,40,2-40,-1.0,native,0.2372815120242765,0.23618101545003473,0.0011004965742417716,11.086902686372484,11.035482336252427,0.051420350120057634,0.9714408468455349,0.9717089915904217,46.7246798614389,0.7820383707682291,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-nilc_2048_R3.00_full.fits
NILC,2,64,2-64,-1.0,native,0.2166253369253801,0.21578165937879037,0.0008436775465897328,11.58286807811124,11.537756985100085,0.04511109301115468,0.9762547625970948,0.9764415877867593,53.469590595956625,0.7820383707682291,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-nilc_2048_R3.00_full.fits
