masked_corr,observed_rms_uK,fit_rms_uK,residual_rms_uK,residual_fraction,amp_uK_per_template_sigma,offset_uK,valid_pixels,valid_sky_fraction,component,model,family,description,path,available_fields,temperature_field,temperature_unit_inference,temperature_scale_applied,raw_temperature_robust_std,mask_field,mask_source_used,nside,mask_threshold,rank
0.9837548193465763,100.82086786492997,99.18301465282964,18.099088413904486,0.17951728443908946,99.18301465282966,-6.974858393759172e-15,692358,0.8803787231445312,COMMANDER,planck_ripple_plus_0p5pct,planck_perturbation,Planck sinusoidal ripple perturbation plus 0.5 percent,COM_CMB_IQU-commander_2048_R3.00_full.fits,I_STOKES|Q_STOKES|U_STOKES|TMASK|PMASK|I_STOKES_INP|Q_STOKES_INP|U_STOKES_INP,I_STOKES,K_CMB_to_uK,1000000.0,0.00011106410047772622,TMASK,COM_CMB_IQU-commander_2048_R3.00_full.fits,256,0.99,11
0.9837434348040353,100.82086786492997,99.18186685336961,18.10537722661572,0.17957966054082722,99.18186685336961,1.0890153230610382e-14,692358,0.8803787231445312,COMMANDER,planck_ripple_plus_1p0pct,planck_perturbation,Planck sinusoidal ripple perturbation plus 1.0 percent,COM_CMB_IQU-commander_2048_R3.00_full.fits,I_STOKES|Q_STOKES|U_STOKES|TMASK|PMASK|I_STOKES_INP|Q_STOKES_INP|U_STOKES_INP,I_STOKES,K_CMB_to_uK,1000000.0,0.00011106410047772622,TMASK,COM_CMB_IQU-commander_2048_R3.00_full.fits,256,0.99,12
0.9837433077387351,100.82086786492997,99.18185404253614,18.10544740465478,0.17958035660743074,99.18185404253614,3.5773624036880365e-15,692358,0.8803787231445312,COMMANDER,planck_tilt_minus_0p5pct,planck_perturbation,Planck endpoint-normalized tilt perturbation minus 0.5 percent,COM_CMB_IQU-commander_2048_R3.00_full.fits,I_STOKES|Q_STOKES|U_STOKES|TMASK|PMASK|I_STOKES_INP|Q_STOKES_INP|U_STOKES_INP,I_STOKES,K_CMB_to_uK,1000000.0,0.00011106410047772622,TMASK,COM_CMB_IQU-commander_2048_R3.00_full.fits,256,0.99,13
0.9837391627194455,100.82086786492997,99.18143613809397,18.107736540574024,0.179603061588728,99.18143613809397,-8.917022283722651e-17,692358,0.8803787231445312,COMMANDER,cptg_tilt_plus_0p5pct,cptg_perturbation,CPTG endpoint-normalized tilt perturbation plus 0.5 percent,COM_CMB_IQU-commander_2048_R3.00_full.fits,I_STOKES|Q_STOKES|U_STOKES|TMASK|PMASK|I_STOKES_INP|Q_STOKES_INP|U_STOKES_INP,I_STOKES,K_CMB_to_uK,1000000.0,0.00011106410047772622,TMASK,COM_CMB_IQU-commander_2048_R3.00_full.fits,256,0.99,14
0.9837286871245172,100.82086786492997,99.18037997952251,18.11352047933533,0.17966043005702026,99.18037997952251,-3.1142798728133097e-15,692358,0.8803787231445312,COMMANDER,cptg_ripple_minus_1p0pct,cptg_perturbation,CPTG sinusoidal ripple perturbation minus 1.0 percent,COM_CMB_IQU-commander_2048_R3.00_full.fits,I_STOKES|Q_STOKES|U_STOKES|TMASK|PMASK|I_STOKES_INP|Q_STOKES_INP|U_STOKES_INP,I_STOKES,K_CMB_to_uK,1000000.0,0.00011106410047772622,TMASK,COM_CMB_IQU-commander_2048_R3.00_full.fits,256,0.99,15
0.9837264333225539,100.82086786492997,99.18015274925264,18.114764631998266,0.17967277028666995,99.18015274925266,3.332160790348079e-15,692358,0.8803787231445312,COMMANDER,cptg_ripple_minus_0p5pct,cptg_perturbation,CPTG sinusoidal ripple perturbation minus 0.5 percent,COM_CMB_IQU-commander_2048_R3.00_full.fits,I_STOKES|Q_STOKES|U_STOKES|TMASK|PMASK|I_STOKES_INP|Q_STOKES_INP|U_STOKES_INP,I_STOKES,K_CMB_to_uK,1000000.0,0.00011106410047772622,TMASK,COM_CMB_IQU-commander_2048_R3.00_full.fits,256,0.99,16
0.9837247919229044,100.82086786492997,99.17998726191401,18.115670668348773,0.17968175688210097,99.17998726191401,8.107533175674375e-15,692358,0.8803787231445312,COMMANDER,cptg_ripple_minus_2p0pct,cptg_perturbation,CPTG sinusoidal ripple perturbation minus 2.0 percent,COM_CMB_IQU-commander_2048_R3.00_full.fits,I_STOKES|Q_STOKES|U_STOKES|TMASK|PMASK|I_STOKES_INP|Q_STOKES_INP|U_STOKES_INP,I_STOKES,K_CMB_to_uK,1000000.0,0.00011106410047772622,TMASK,COM_CMB_IQU-commander_2048_R3.00_full.fits,256,0.99,17
0.9837222967353159,100.82086786492997,99.17973569493618,18.117047897495993,0.17969541704171263,99.17973569493618,2.3863975147039184e-15,692358,0.8803787231445312,COMMANDER,planck_tilt_minus_1p0pct,planck_perturbation,Planck endpoint-normalized tilt perturbation minus 1.0 percent,COM_CMB_IQU-commander_2048_R3.00_full.fits,I_STOKES|Q_STOKES|U_STOKES|TMASK|PMASK|I_STOKES_INP|Q_STOKES_INP|U_STOKES_INP,I_STOKES,K_CMB_to_uK,1000000.0,0.00011106410047772622,TMASK,COM_CMB_IQU-commander_2048_R3.00_full.fits,256,0.99,18
0.9837213844016262,100.82086786492997,99.17964371266204,18.117551436853354,0.17970041143789295,99.17964371266204,1.0097316335183089e-14,692358,0.8803787231445312,COMMANDER,cptg_locked_pi_cmb,cptg,Locked CPTG geometric-pi CMB comparison envelope,COM_CMB_IQU-commander_2048_R3.00_full.fits,I_STOKES|Q_STOKES|U_STOKES|TMASK|PMASK|I_STOKES_INP|Q_STOKES_INP|U_STOKES_INP,I_STOKES,K_CMB_to_uK,1000000.0,0.00011106410047772622,TMASK,COM_CMB_IQU-commander_2048_R3.00_full.fits,256,0.99,19
0.9837135444660319,100.82086786492997,99.17885328355045,18.121877893788774,0.17974332375383548,99.17885328355045,7.085685002173043e-15,692358,0.8803787231445312,COMMANDER,cptg_ripple_plus_0p5pct,cptg_perturbation,CPTG sinusoidal ripple perturbation plus 0.5 percent,COM_CMB_IQU-commander_2048_R3.00_full.fits,I_STOKES|Q_STOKES|U_STOKES|TMASK|PMASK|I_STOKES_INP|Q_STOKES_INP|U_STOKES_INP,I_STOKES,K_CMB_to_uK,1000000.0,0.00011106410047772622,TMASK,COM_CMB_IQU-commander_2048_R3.00_full.fits,256,0.99,20
