scope,n_splits,mean_gap_residual_fraction,std_gap_residual_fraction,min_gap_residual_fraction,max_gap_residual_fraction,span_gap_residual_fraction,full_gap_residual_fraction,mean_gap_rms_uK,std_gap_rms_uK,min_gap_rms_uK,max_gap_rms_uK,span_gap_rms_uK,full_gap_rms_uK,planck_ahead_all_splits
full_band_splits,5,0.00023769033758044844,2.460762398303914e-06,0.0002338270573221668,0.00024052248024739042,6.695422925223626e-06,0.00023729607406566822,0.02389067845531514,0.00025250772675173086,0.02349459978023205,0.024184270169214983,0.0006896703889829325,0.023850546068636902,True
band_2-30_splits,5,0.0011993696995489245,3.730212248949432e-07,0.0011987549780483053,0.0011996978776344092,9.428995861038292e-07,0.0011993652480476735,0.05146810752745097,5.422559706237135e-05,0.0514100504566688,0.05153063233234079,0.00012058187567198786,0.051465405982852985,True
band_2-40_splits,5,0.0010644364493586189,8.325668324044384e-07,0.0010635371413995898,0.0010655954190637862,2.0582776641964173e-06,0.0010644578950370076,0.04990805221664232,7.335246082354442e-05,0.04981857130051459,0.05000211486741968,0.00018354356690508666,0.04990649938998004,True
band_2-64_splits,5,0.0008130262056362414,1.1994489542868268e-06,0.0008113814127023999,0.0008147436939286989,3.362281226299002e-06,0.0008131740313826463,0.043583230236117744,8.961043724164752e-05,0.0434598211421946,0.0437056567516656,0.00024583560947100125,0.0435877806850371,True
band_2-95_splits,5,0.0005434749953894368,1.4150735029141821e-06,0.00054140999769825,0.0005453871733065996,3.977175608349537e-06,0.000543501039312666,0.033005499293474475,0.00010243565489909713,0.03285498004803422,0.033143944399697034,0.00028896435166281265,0.03300479522080302,True
