family,mean_rank,median_rank,best_rank,worst_rank,mean_residual_fraction,std_residual_fraction,mean_residual_rms_uK,std_residual_rms_uK,n_models,n_rows
data_control,14.5,14.5,1,28,0.1530381626956822,0.040827442223027206,15.392630272873372,4.10812208396091,2,10
benchmark,9.2,9.0,9,10,0.18125107585215178,0.0015937257654931745,18.229701949756365,0.12298710811321346,1,5
planck_perturbation,10.916666666666666,9.0,2,26,0.18128573911144263,0.0014557144095728336,18.233188389451037,0.11331150389351882,12,60
cptg,18.8,19.0,18,19,0.1814849037178785,0.0015931145348617567,18.25321967101902,0.1227934536137536,1,5
cptg_perturbation,18.166666666666668,18.5,4,27,0.18151953516266336,0.0014526464753233511,18.256702910696056,0.11281200932098313,12,60
smooth_null,30.0,30.0,30,30,0.5592380469124841,0.004203290666358079,56.24671519360478,0.32466615806145993,1,5
bad_null,30.0,30.0,29,31,0.5842058088152604,0.20413871233647682,58.7583387745669,20.53176941949516,2,10
shuffled_null,41.5,41.5,32,51,0.9491168823931414,0.0097322404088037,95.4611308858898,1.0291437364358078,20,100
