component,ell_min,ell_max,ell_band,cptg_residual_fraction,planck_residual_fraction,cptg_minus_planck_residual_fraction,cptg_residual_rms_uK,planck_residual_rms_uK,cptg_minus_planck_residual_rms_uK,cptg_corr,planck_corr,observed_band_rms_uK,valid_sky_fraction,temperature_field,temperature_unit_inference,mask_field,mask_source_used,run,family,component_or_band
COMMANDER,2,30,2-30,0.236226053147606,0.2350461495010772,0.0011799036465288,10.257744399155593,10.206508941167554,0.0512354579880369,0.9716979113597686,0.9719839972577804,43.42342541170103,0.8803787231445312,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-commander_2048_R3.00_full.fits,Planck low-ell bands non-inpainted,Planck low-ell bands,COMMANDER ell=2-30
COMMANDER,2,40,2-40,0.2281637687859523,0.2271124416129228,0.0010513271730295,10.788321241111756,10.73861109066805,0.0497101504437065,0.9736226466056492,0.9738684225347214,47.283235627268326,0.8803787231445312,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-commander_2048_R3.00_full.fits,Planck low-ell bands non-inpainted,Planck low-ell bands,COMMANDER ell=2-40
COMMANDER,2,64,2-64,0.2088809085752553,0.2080694188864416,0.0008114896888136,11.24370212583466,11.200021023519268,0.0436811023153911,0.977941054686925,0.978114031080104,53.82829001715009,0.8803787231445312,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-commander_2048_R3.00_full.fits,Planck low-ell bands non-inpainted,Planck low-ell bands,COMMANDER ell=2-64
COMMANDER,2,95,2-95,0.1904149447563579,0.1898666797330586,0.0005482650232992,11.590681454723027,11.557308206389193,0.0333732483338344,0.981703676999734,0.9818098618240446,60.87064998786561,0.8803787231445312,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-commander_2048_R3.00_full.fits,Planck low-ell bands non-inpainted,Planck low-ell bands,COMMANDER ell=2-95
SMICA,2,30,2-30,0.2490951060516665,0.2480547307544242,0.0010403752972422,11.322534109770526,11.275244201202254,0.0472899085682723,0.968479001604868,0.9687459932246736,45.45466303710537,0.9830919901529948,I_STOKES_INP,K_CMB_to_uK,TMASKINP,COM_CMB_IQU-smica_2048_R3.00_full.fits,Planck low-ell bands inpainted,Planck low-ell bands,SMICA ell=2-30
SMICA,2,40,2-40,0.2389055563708338,0.2379616000917102,0.0009439562791236,11.71178957284431,11.665514310456103,0.0462752623882067,0.9710428015906478,0.9712745566353258,49.02267553235574,0.9830919901529948,I_STOKES_INP,K_CMB_to_uK,TMASKINP,COM_CMB_IQU-smica_2048_R3.00_full.fits,Planck low-ell bands inpainted,Planck low-ell bands,SMICA ell=2-40
SMICA,2,64,2-64,0.2174391199363431,0.216687102264073,0.00075201767227,12.051064212890616,12.009385359239952,0.0416788536506622,0.9760738844837192,0.9762411067816033,55.422705060702285,0.9830919901529948,I_STOKES_INP,K_CMB_to_uK,TMASKINP,COM_CMB_IQU-smica_2048_R3.00_full.fits,Planck low-ell bands inpainted,Planck low-ell bands,SMICA ell=2-64
SMICA,2,95,2-95,0.1975427375065989,0.1969951130998302,0.0005476244067687,12.302133843492266,12.268030090385134,0.0341037531071322,0.9802942756259552,0.9804044702986556,62.275809269279314,0.9830919901529948,I_STOKES_INP,K_CMB_to_uK,TMASKINP,COM_CMB_IQU-smica_2048_R3.00_full.fits,Planck low-ell bands inpainted,Planck low-ell bands,SMICA ell=2-95
SMICA_noSZ,2,30,2-30,0.2576400400919585,0.2566170448910977,0.0010229952008608,11.754411426544326,11.70773891991839,0.0466725066259368,0.9662409686186848,0.9665131618190886,45.62338766268188,0.9830919901529948,I_STOKES_INP,uK_native_or_already_scaled,TMASKINP,COM_CMB_IQU-smica_2048_R3.00_full.fits,Planck low-ell bands inpainted,Planck low-ell bands,SMICA_noSZ ell=2-30
SMICA_noSZ,2,40,2-40,0.2466611509141291,0.2457306204738272,0.0009305304403018,12.138212984285447,12.092421514364522,0.0457914699209247,0.9691017862458878,0.9693381544491458,49.21007195215415,0.9830919901529948,I_STOKES_INP,uK_native_or_already_scaled,TMASKINP,COM_CMB_IQU-smica_2048_R3.00_full.fits,Planck low-ell bands inpainted,Planck low-ell bands,SMICA_noSZ ell=2-40
SMICA_noSZ,2,64,2-64,0.2242353287441562,0.2234918421117035,0.0007434866324526,12.471064190550267,12.429714464037223,0.0413497265130455,0.9745350198112273,0.9747057936053164,55.615964979270814,0.9830919901529948,I_STOKES_INP,uK_native_or_already_scaled,TMASKINP,COM_CMB_IQU-smica_2048_R3.00_full.fits,Planck low-ell bands inpainted,Planck low-ell bands,SMICA_noSZ ell=2-64
